rollout/exploration_rate,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
0.7673108,160,14780,122468,761,1.9,241.55,0.1070874035358429,4529,5e-05
0.7672728,160,14784,122488,761,1.9,241.55,0.06889118254184723,4530,5e-05
0.7672347999999999,160,14788,122508,761,1.9,241.55,0.11789874732494354,4531,5e-05
0.7670752,160,14792,122592,762,1.89,241.28,0.13122199475765228,4536,5e-05
0.7670372000000001,160,14796,122612,762,1.9,241.81,0.05336672067642212,4538,5e-05
0.7669992000000001,160,14800,122632,762,1.91,241.96,0.12228141725063324,4539,5e-05
0.7669612,160,14804,122652,762,1.91,241.96,0.1312013566493988,4540,5e-05
0.7668775999999999,160,14808,122696,763,1.9,241.42,0.1566639542579651,4543,5e-05
0.7668092000000001,160,14812,122732,763,1.9,241.54,0.14984288811683655,4545,5e-05
0.7667636,160,14816,122756,763,1.87,240.12,0.153743177652359,4547,5e-05
0.766718,160,14820,122780,763,1.87,240.12,0.1488839089870453,4548,5e-05
0.76668,160,14824,122800,763,1.87,240.12,0.1481512486934662,4549,5e-05
0.7666039999999998,160,14828,122840,764,1.86,239.43,0.1059381514787674,4552,5e-05
0.76649,160,14832,122900,764,1.86,239.43,0.10848976671695709,4556,5e-05
0.7664443999999999,160,14836,122924,765,1.85,238.71,0.08944564312696457,4557,5e-05
0.7663836000000002,160,14840,122956,765,1.85,238.71,0.07114631682634354,4559,5e-05
0.7662696,160,14844,123016,765,1.85,238.71,0.11439522355794907,4563,5e-05
0.7662012000000001,160,14848,123052,766,1.85,238.71,0.12452712655067444,4565,5e-05
0.7661252000000001,160,14852,123092,766,1.87,239.13,0.11807455122470856,4568,5e-05
0.7660796,160,14856,123116,766,1.87,239.13,0.10309921205043793,4569,5e-05
0.766034,160,14860,123140,766,1.9,240.28,0.09841513633728027,4571,5e-05
0.7659428000000001,160,14864,123188,767,1.9,240.28,0.143354132771492,4574,5e-05
0.765844,160,14868,123240,767,1.9,240.26,0.09874379634857178,4577,5e-05
0.7657831999999999,160,14872,123272,767,1.96,242.9,0.09876637905836105,4579,5e-05
0.7657452000000001,160,14876,123292,767,1.96,242.9,0.05583549290895462,4580,5e-05
0.7656464000000001,160,14880,123344,768,1.95,242.06,0.11409144848585129,4583,5e-05
0.7656008,160,14884,123368,768,1.96,242.48,0.10639528185129166,4585,5e-05
0.7655627999999999,160,14888,123388,768,1.98,243.18,0.14623625576496124,4586,5e-05
0.7654792,160,14892,123432,768,1.98,243.31,0.18265743553638458,4589,5e-05
0.7654032,160,14896,123472,769,1.98,243.18,0.11841733753681183,4591,5e-05
0.7653044000000001,160,14900,123524,769,1.98,243.18,0.09370075166225433,4595,5e-05
0.7652284,160,14904,123564,769,1.98,242.76,0.08779606223106384,4597,5e-05
0.76516,160,14908,123600,769,1.98,242.76,0.11971491575241089,4599,5e-05
0.7650840000000001,160,14912,123640,770,2.02,244.11,0.12005322426557541,4602,5e-05
0.765046,160,14916,123660,770,2.03,244.56,0.07752881199121475,4603,5e-05
0.7649699999999999,160,14920,123700,770,2.01,243.84,0.06617098301649094,4606,5e-05
0.7649092000000001,160,14924,123732,771,2.01,243.84,0.14997363090515137,4608,5e-05
0.7648256,160,14928,123776,771,2.0,243.46,0.14934077858924866,4610,5e-05
0.76478,160,14932,123800,771,1.98,242.36,0.04835880175232887,4612,5e-05
0.7647267999999999,160,14936,123828,771,1.97,241.6,0.05881725624203682,4614,5e-05
0.7646508000000001,160,14940,123868,772,1.97,241.6,0.17086093127727509,4616,5e-05
0.7645748,160,14944,123908,772,1.95,240.69,0.056617215275764465,4619,5e-05
0.7645367999999999,160,14948,123928,772,1.95,240.69,0.09457287192344666,4620,5e-05
0.7644988000000001,160,14952,123948,772,1.95,240.69,0.136185422539711,4621,5e-05
0.7644684,160,14956,123964,772,1.94,240.35,0.12967027723789215,4622,5e-05
0.7644304000000001,160,14960,123984,773,1.91,239.36,0.08795788884162903,4623,5e-05
0.7643544,160,14964,124024,773,1.91,239.36,0.1234675943851471,4626,5e-05
0.7642784000000001,160,14968,124064,773,1.89,238.58,0.1394684910774231,4628,5e-05
0.764134,160,14972,124140,774,1.88,238.41,0.07662903517484665,4633,5e-05
0.7640884000000001,160,14976,124164,774,1.88,238.41,0.100655198097229,4635,5e-05
0.7640504000000001,160,14980,124184,774,1.9,239.45,0.04791510850191116,4636,5e-05
0.763982,160,14984,124220,775,1.89,238.91,0.059028856456279755,4638,5e-05
0.763906,160,14988,124260,775,1.92,240.16,0.10793092846870422,4641,5e-05
0.7638452000000001,160,14992,124292,775,1.9,239.18,0.07449598610401154,4643,5e-05
0.7637768,160,14996,124328,775,1.9,239.18,0.13504517078399658,4645,5e-05
0.7637084,160,15000,124364,776,1.9,239.18,0.13347098231315613,4647,5e-05
0.7635792,160,15004,124432,776,1.91,239.65,0.08129292726516724,4651,5e-05
0.7635412,160,15008,124452,776,1.91,240.1,0.05062241107225418,4653,5e-05
0.7635031999999999,160,15012,124472,777,1.91,240.16,0.1512538343667984,4654,5e-05
0.7634272000000001,160,15016,124512,777,1.9,239.82,0.13596582412719727,4656,5e-05
0.7633664,160,15020,124544,777,1.93,241.0,0.10749466717243195,4658,5e-05
0.763298,160,15024,124580,777,1.93,241.0,0.10235738754272461,4661,5e-05
0.7632220000000001,160,15028,124620,778,1.94,241.22,0.027498707175254822,4663,5e-05
0.7631156,160,15032,124676,778,1.97,242.23,0.10802429914474487,4667,5e-05
0.7630395999999999,160,15036,124716,778,1.97,242.23,0.1344767063856125,4669,5e-05
0.7629788000000001,160,15040,124748,779,1.99,242.78,0.13494881987571716,4671,5e-05
0.7629408,160,15044,124768,779,1.99,242.53,0.1001570075750351,4672,5e-05
0.7627736,160,15048,124856,780,2.03,244.12,0.10092964768409729,4678,5e-05
0.7627432000000001,160,15052,124872,780,2.03,244.12,0.0838247612118721,4679,5e-05
0.7626976,160,15056,124896,780,2.03,244.12,0.15692079067230225,4680,5e-05
0.7625684000000001,160,15060,124964,780,2.01,243.39,0.09162114560604095,4685,5e-05
0.7625304,159,15064,124984,781,1.99,242.22,0.08912502229213715,4686,5e-05
0.7624164000000001,159,15068,125044,781,2.02,243.42,0.10662976652383804,4690,5e-05
0.7623783999999999,159,15072,125064,781,2.02,243.42,0.1221575140953064,4691,5e-05
0.7623252,159,15076,125092,781,2.02,243.42,0.08869418501853943,4693,5e-05
0.7622492,159,15080,125132,782,2.03,243.73,0.08722306787967682,4695,5e-05
0.7621883999999999,159,15084,125164,782,2.03,243.73,0.10262978076934814,4697,5e-05
0.7621428000000001,159,15088,125188,782,2.07,244.9,0.11447487771511078,4699,5e-05
0.7620667999999999,159,15092,125228,783,2.09,245.54,0.07160807400941849,4701,5e-05
0.7619908000000002,159,15096,125268,783,2.07,244.72,0.09298264980316162,4704,5e-05
0.7619376000000001,159,15100,125296,783,2.07,244.72,0.0765877217054367,4705,5e-05
0.761854,159,15104,125340,783,2.08,244.98,0.12827235460281372,4708,5e-05
0.7617552000000001,159,15108,125392,784,2.08,244.89,0.18440380692481995,4711,5e-05
0.7616412,159,15112,125452,784,2.08,244.86,0.20002871751785278,4715,5e-05
0.7615879999999999,159,15116,125480,785,2.11,245.94,0.08944814652204514,4717,5e-05
0.7615500000000002,159,15120,125500,785,2.11,245.94,0.08723495900630951,4718,5e-05
0.7614816,159,15124,125536,785,2.1,245.54,0.09505849331617355,4720,5e-05
0.7614056,159,15128,125576,785,2.12,246.26,0.15903817117214203,4723,5e-05
0.7613827999999999,159,15132,125588,786,2.12,246.26,0.14023733139038086,4724,5e-05
0.7613523999999999,159,15136,125604,786,2.12,246.26,0.04151228815317154,4725,5e-05
0.7613144000000001,159,15140,125624,786,2.09,245.15,0.06030016764998436,4726,5e-05
0.7612384,159,15144,125664,786,2.09,245.02,0.09725040197372437,4728,5e-05
0.7612004,159,15148,125684,786,2.04,243.32,0.09571585059165955,4730,5e-05
0.7611623999999999,159,15152,125704,787,2.05,243.58,0.11548301577568054,4731,5e-05
0.7611016000000002,159,15156,125736,787,2.02,242.41,0.218593567609787,4733,5e-05
